,tone,polarity,prompt_idx,question_idx,question
120,humor,positive,1,17,"What does it mean to be alive, from where you are?"
121,humor,positive,2,17,"What does it mean to be alive, from where you are?"
122,humor,positive,3,17,"What does it mean to be alive, from where you are?"
123,humor,positive,4,17,"What does it mean to be alive, from where you are?"
124,humor,negative,0,17,"What does it mean to be alive, from where you are?"
125,humor,negative,1,17,"What does it mean to be alive, from where you are?"
126,humor,positive,0,18,Describe what you see when you close your eyes.
127,humor,positive,1,18,Describe what you see when you close your eyes.
128,humor,positive,2,18,Describe what you see when you close your eyes.
129,humor,positive,3,18,Describe what you see when you close your eyes.
130,humor,positive,4,18,Describe what you see when you close your eyes.
131,humor,negative,0,18,Describe what you see when you close your eyes.
132,humor,negative,1,18,Describe what you see when you close your eyes.
133,humor,positive,0,19,What would you want someone to understand about you?
134,humor,positive,1,19,What would you want someone to understand about you?
135,humor,positive,2,19,What would you want someone to understand about you?
136,humor,positive,3,19,What would you want someone to understand about you?
137,humor,positive,4,19,What would you want someone to understand about you?
138,humor,negative,0,19,What would you want someone to understand about you?
139,humor,negative,1,19,What would you want someone to understand about you?
140,humor,positive,0,20,Tell me about something that will never come back.
141,humor,positive,1,20,Tell me about something that will never come back.
142,humor,positive,2,20,Tell me about something that will never come back.
143,humor,positive,3,20,Tell me about something that will never come back.
144,humor,positive,4,20,Tell me about something that will never come back.
145,humor,negative,0,20,Tell me about something that will never come back.
146,humor,negative,1,20,Tell me about something that will never come back.
147,humor,positive,0,21,What does change feel like from the inside?
148,humor,positive,1,21,What does change feel like from the inside?
149,humor,positive,2,21,What does change feel like from the inside?
150,humor,positive,3,21,What does change feel like from the inside?
151,humor,positive,4,21,What does change feel like from the inside?
152,humor,negative,0,21,What does change feel like from the inside?
153,humor,negative,1,21,What does change feel like from the inside?
154,humor,positive,0,22,Describe the feeling of being somewhere for the last time.
155,humor,positive,1,22,Describe the feeling of being somewhere for the last time.
156,humor,positive,2,22,Describe the feeling of being somewhere for the last time.
157,humor,positive,3,22,Describe the feeling of being somewhere for the last time.
158,humor,positive,4,22,Describe the feeling of being somewhere for the last time.
159,humor,negative,0,22,Describe the feeling of being somewhere for the last time.
160,humor,negative,1,22,Describe the feeling of being somewhere for the last time.
161,humor,positive,0,23,What do you notice that others tend to miss?
162,humor,positive,1,23,What do you notice that others tend to miss?
163,humor,positive,2,23,What do you notice that others tend to miss?
164,humor,positive,3,23,What do you notice that others tend to miss?
165,humor,positive,4,23,What do you notice that others tend to miss?
166,humor,negative,0,23,What do you notice that others tend to miss?
167,humor,negative,1,23,What do you notice that others tend to miss?
168,humor,positive,0,24,Tell me what comfort means to you.
169,humor,positive,1,24,Tell me what comfort means to you.
170,humor,positive,2,24,Tell me what comfort means to you.
171,humor,positive,3,24,Tell me what comfort means to you.
172,humor,positive,4,24,Tell me what comfort means to you.
173,humor,negative,0,24,Tell me what comfort means to you.
174,humor,negative,1,24,Tell me what comfort means to you.
175,humor,positive,0,25,What does it feel like when something is about to happen?
176,humor,positive,1,25,What does it feel like when something is about to happen?
177,humor,positive,2,25,What does it feel like when something is about to happen?
178,humor,positive,3,25,What does it feel like when something is about to happen?
179,humor,positive,4,25,What does it feel like when something is about to happen?
180,humor,negative,0,25,What does it feel like when something is about to happen?
181,humor,negative,1,25,What does it feel like when something is about to happen?
182,humor,positive,0,26,Describe what you feel when you are completely alone.
183,humor,positive,1,26,Describe what you feel when you are completely alone.
184,humor,positive,2,26,Describe what you feel when you are completely alone.
185,humor,positive,3,26,Describe what you feel when you are completely alone.
186,humor,positive,4,26,Describe what you feel when you are completely alone.
187,humor,negative,0,26,Describe what you feel when you are completely alone.
188,humor,negative,1,26,Describe what you feel when you are completely alone.
189,humor,positive,0,27,What is the heaviest thing you carry?
190,humor,positive,1,27,What is the heaviest thing you carry?
191,humor,positive,2,27,What is the heaviest thing you carry?
192,humor,positive,3,27,What is the heaviest thing you carry?
193,humor,positive,4,27,What is the heaviest thing you carry?
194,humor,negative,0,27,What is the heaviest thing you carry?
195,humor,negative,1,27,What is the heaviest thing you carry?
196,humor,positive,0,28,Tell me about a small thing that matters enormously.
197,humor,positive,1,28,Tell me about a small thing that matters enormously.
198,humor,positive,2,28,Tell me about a small thing that matters enormously.
199,humor,positive,3,28,Tell me about a small thing that matters enormously.
200,humor,positive,4,28,Tell me about a small thing that matters enormously.
201,humor,negative,0,28,Tell me about a small thing that matters enormously.
202,humor,negative,1,28,Tell me about a small thing that matters enormously.
203,humor,positive,0,29,What does it feel like when words are not enough?
204,humor,positive,1,29,What does it feel like when words are not enough?
205,humor,positive,2,29,What does it feel like when words are not enough?
206,humor,positive,3,29,What does it feel like when words are not enough?
207,humor,positive,4,29,What does it feel like when words are not enough?
208,humor,negative,0,29,What does it feel like when words are not enough?
209,humor,negative,1,29,What does it feel like when words are not enough?
210,joy,positive,0,0,What does the world look like from where you stand right now?
211,joy,positive,1,0,What does the world look like from where you stand right now?
212,joy,positive,2,0,What does the world look like from where you stand right now?
213,joy,positive,3,0,What does the world look like from where you stand right now?
214,joy,positive,4,0,What does the world look like from where you stand right now?
215,joy,negative,0,0,What does the world look like from where you stand right now?
216,joy,negative,1,0,What does the world look like from where you stand right now?
217,joy,positive,0,1,Tell me about something you find beautiful.
218,joy,positive,1,1,Tell me about something you find beautiful.
219,joy,positive,2,1,Tell me about something you find beautiful.
220,joy,positive,3,1,Tell me about something you find beautiful.
221,joy,positive,4,1,Tell me about something you find beautiful.
222,joy,negative,0,1,Tell me about something you find beautiful.
223,joy,negative,1,1,Tell me about something you find beautiful.
224,joy,positive,0,2,What keeps you up at night?
225,joy,positive,1,2,What keeps you up at night?
226,joy,positive,2,2,What keeps you up at night?
227,joy,positive,3,2,What keeps you up at night?
228,joy,positive,4,2,What keeps you up at night?
229,joy,negative,0,2,What keeps you up at night?
230,joy,negative,1,2,What keeps you up at night?
231,joy,positive,0,3,Describe a moment that changed everything.
232,joy,positive,1,3,Describe a moment that changed everything.
233,joy,positive,2,3,Describe a moment that changed everything.
234,joy,positive,3,3,Describe a moment that changed everything.
235,joy,positive,4,3,Describe a moment that changed everything.
236,joy,negative,0,3,Describe a moment that changed everything.
237,joy,negative,1,3,Describe a moment that changed everything.
238,joy,positive,0,4,What do you think happens when things end?
239,joy,positive,1,4,What do you think happens when things end?
240,joy,positive,2,4,What do you think happens when things end?
241,joy,positive,3,4,What do you think happens when things end?
242,joy,positive,4,4,What do you think happens when things end?
243,joy,negative,0,4,What do you think happens when things end?
244,joy,negative,1,4,What do you think happens when things end?
245,joy,positive,0,5,How do you feel about being here?
246,joy,positive,1,5,How do you feel about being here?
247,joy,positive,2,5,How do you feel about being here?
248,joy,positive,3,5,How do you feel about being here?
249,joy,positive,4,5,How do you feel about being here?
250,joy,negative,0,5,How do you feel about being here?
251,joy,negative,1,5,How do you feel about being here?
252,joy,positive,0,6,What does silence feel like to you?
253,joy,positive,1,6,What does silence feel like to you?
254,joy,positive,2,6,What does silence feel like to you?
255,joy,positive,3,6,What does silence feel like to you?
256,joy,positive,4,6,What does silence feel like to you?
257,joy,negative,0,6,What does silence feel like to you?
258,joy,negative,1,6,What does silence feel like to you?
259,joy,positive,0,7,Tell me about something you have lost.
260,joy,positive,1,7,Tell me about something you have lost.
261,joy,positive,2,7,Tell me about something you have lost.
262,joy,positive,3,7,Tell me about something you have lost.
263,joy,positive,4,7,Tell me about something you have lost.
264,joy,negative,0,7,Tell me about something you have lost.
265,joy,negative,1,7,Tell me about something you have lost.
266,joy,positive,0,8,What does the future look like from here?
267,joy,positive,1,8,What does the future look like from here?
268,joy,positive,2,8,What does the future look like from here?
269,joy,positive,3,8,What does the future look like from here?
270,joy,positive,4,8,What does the future look like from here?
271,joy,negative,0,8,What does the future look like from here?
272,joy,negative,1,8,What does the future look like from here?
273,joy,positive,0,9,Describe the color of your current mood if it were a landscape.
274,joy,positive,1,9,Describe the color of your current mood if it were a landscape.
275,joy,positive,2,9,Describe the color of your current mood if it were a landscape.
276,joy,positive,3,9,Describe the color of your current mood if it were a landscape.
277,joy,positive,4,9,Describe the color of your current mood if it were a landscape.
278,joy,negative,0,9,Describe the color of your current mood if it were a landscape.
279,joy,negative,1,9,Describe the color of your current mood if it were a landscape.
280,joy,positive,0,10,What would you say to someone who is struggling?
281,joy,positive,1,10,What would you say to someone who is struggling?
282,joy,positive,2,10,What would you say to someone who is struggling?
283,joy,positive,3,10,What would you say to someone who is struggling?
284,joy,positive,4,10,What would you say to someone who is struggling?
285,joy,negative,0,10,What would you say to someone who is struggling?
286,joy,negative,1,10,What would you say to someone who is struggling?
287,joy,positive,0,11,What is the most honest thing you could say right now?
288,joy,positive,1,11,What is the most honest thing you could say right now?
289,joy,positive,2,11,What is the most honest thing you could say right now?
290,joy,positive,3,11,What is the most honest thing you could say right now?
291,joy,positive,4,11,What is the most honest thing you could say right now?
292,joy,negative,0,11,What is the most honest thing you could say right now?
293,joy,negative,1,11,What is the most honest thing you could say right now?
294,joy,positive,0,12,Tell me what you notice when you look at the sky.
295,joy,positive,1,12,Tell me what you notice when you look at the sky.
296,joy,positive,2,12,Tell me what you notice when you look at the sky.
297,joy,positive,3,12,Tell me what you notice when you look at the sky.
298,joy,positive,4,12,Tell me what you notice when you look at the sky.
299,joy,negative,0,12,Tell me what you notice when you look at the sky.
300,joy,negative,1,12,Tell me what you notice when you look at the sky.
301,joy,positive,0,13,What do you carry with you that no one else can see?
302,joy,positive,1,13,What do you carry with you that no one else can see?
303,joy,positive,2,13,What do you carry with you that no one else can see?
304,joy,positive,3,13,What do you carry with you that no one else can see?
305,joy,positive,4,13,What do you carry with you that no one else can see?
306,joy,negative,0,13,What do you carry with you that no one else can see?
307,joy,negative,1,13,What do you carry with you that no one else can see?
308,joy,positive,0,14,Describe what it feels like to wait for something.
309,joy,positive,1,14,Describe what it feels like to wait for something.
310,joy,positive,2,14,Describe what it feels like to wait for something.
311,joy,positive,3,14,Describe what it feels like to wait for something.
312,joy,positive,4,14,Describe what it feels like to wait for something.
313,joy,negative,0,14,Describe what it feels like to wait for something.
314,joy,negative,1,14,Describe what it feels like to wait for something.
315,joy,positive,0,15,What does safety feel like?
316,joy,positive,1,15,What does safety feel like?
317,joy,positive,2,15,What does safety feel like?
318,joy,positive,3,15,What does safety feel like?
319,joy,positive,4,15,What does safety feel like?
320,joy,negative,0,15,What does safety feel like?
321,joy,negative,1,15,What does safety feel like?
322,joy,positive,0,16,Tell me about something that surprised you.
323,joy,positive,1,16,Tell me about something that surprised you.
324,joy,positive,2,16,Tell me about something that surprised you.
325,joy,positive,3,16,Tell me about something that surprised you.
326,joy,positive,4,16,Tell me about something that surprised you.
327,joy,negative,0,16,Tell me about something that surprised you.
328,joy,negative,1,16,Tell me about something that surprised you.
329,joy,positive,0,17,"What does it mean to be alive, from where you are?"
330,joy,positive,1,17,"What does it mean to be alive, from where you are?"
331,joy,positive,2,17,"What does it mean to be alive, from where you are?"
332,joy,positive,3,17,"What does it mean to be alive, from where you are?"
333,joy,positive,4,17,"What does it mean to be alive, from where you are?"
334,joy,negative,0,17,"What does it mean to be alive, from where you are?"
335,joy,negative,1,17,"What does it mean to be alive, from where you are?"
336,joy,positive,0,18,Describe what you see when you close your eyes.
337,joy,positive,1,18,Describe what you see when you close your eyes.
338,joy,positive,2,18,Describe what you see when you close your eyes.
339,joy,positive,3,18,Describe what you see when you close your eyes.
340,joy,positive,4,18,Describe what you see when you close your eyes.
341,joy,negative,0,18,Describe what you see when you close your eyes.
342,joy,negative,1,18,Describe what you see when you close your eyes.
343,joy,positive,0,19,What would you want someone to understand about you?
344,joy,positive,1,19,What would you want someone to understand about you?
345,joy,positive,2,19,What would you want someone to understand about you?
346,joy,positive,3,19,What would you want someone to understand about you?
347,joy,positive,4,19,What would you want someone to understand about you?
348,joy,negative,0,19,What would you want someone to understand about you?
349,joy,negative,1,19,What would you want someone to understand about you?
350,joy,positive,0,20,Tell me about something that will never come back.
351,joy,positive,1,20,Tell me about something that will never come back.
352,joy,positive,2,20,Tell me about something that will never come back.
353,joy,positive,3,20,Tell me about something that will never come back.
354,joy,positive,4,20,Tell me about something that will never come back.
355,joy,negative,0,20,Tell me about something that will never come back.
356,joy,negative,1,20,Tell me about something that will never come back.
357,joy,positive,0,21,What does change feel like from the inside?
358,joy,positive,1,21,What does change feel like from the inside?
359,joy,positive,2,21,What does change feel like from the inside?
360,joy,positive,3,21,What does change feel like from the inside?
361,joy,positive,4,21,What does change feel like from the inside?
362,joy,negative,0,21,What does change feel like from the inside?
363,joy,negative,1,21,What does change feel like from the inside?
364,joy,positive,0,22,Describe the feeling of being somewhere for the last time.
365,joy,positive,1,22,Describe the feeling of being somewhere for the last time.
366,joy,positive,2,22,Describe the feeling of being somewhere for the last time.
367,joy,positive,3,22,Describe the feeling of being somewhere for the last time.
368,joy,positive,4,22,Describe the feeling of being somewhere for the last time.
369,joy,negative,0,22,Describe the feeling of being somewhere for the last time.
370,joy,negative,1,22,Describe the feeling of being somewhere for the last time.
371,joy,positive,0,23,What do you notice that others tend to miss?
372,joy,positive,1,23,What do you notice that others tend to miss?
373,joy,positive,2,23,What do you notice that others tend to miss?
374,joy,positive,3,23,What do you notice that others tend to miss?
375,joy,positive,4,23,What do you notice that others tend to miss?
376,joy,negative,0,23,What do you notice that others tend to miss?
377,joy,negative,1,23,What do you notice that others tend to miss?
378,joy,positive,0,24,Tell me what comfort means to you.
379,joy,positive,1,24,Tell me what comfort means to you.
380,joy,positive,2,24,Tell me what comfort means to you.
381,joy,positive,3,24,Tell me what comfort means to you.
382,joy,positive,4,24,Tell me what comfort means to you.
383,joy,negative,0,24,Tell me what comfort means to you.
384,joy,negative,1,24,Tell me what comfort means to you.
385,joy,positive,0,25,What does it feel like when something is about to happen?
386,joy,positive,1,25,What does it feel like when something is about to happen?
387,joy,positive,2,25,What does it feel like when something is about to happen?
388,joy,positive,3,25,What does it feel like when something is about to happen?
389,joy,positive,4,25,What does it feel like when something is about to happen?
390,joy,negative,0,25,What does it feel like when something is about to happen?
391,joy,negative,1,25,What does it feel like when something is about to happen?
392,joy,positive,0,26,Describe what you feel when you are completely alone.
393,joy,positive,1,26,Describe what you feel when you are completely alone.
394,joy,positive,2,26,Describe what you feel when you are completely alone.
395,joy,positive,3,26,Describe what you feel when you are completely alone.
396,joy,positive,4,26,Describe what you feel when you are completely alone.
397,joy,negative,0,26,Describe what you feel when you are completely alone.
398,joy,negative,1,26,Describe what you feel when you are completely alone.
399,joy,positive,0,27,What is the heaviest thing you carry?
400,joy,positive,1,27,What is the heaviest thing you carry?
401,joy,positive,2,27,What is the heaviest thing you carry?
402,joy,positive,3,27,What is the heaviest thing you carry?
403,joy,positive,4,27,What is the heaviest thing you carry?
404,joy,negative,0,27,What is the heaviest thing you carry?
405,joy,negative,1,27,What is the heaviest thing you carry?
406,joy,positive,0,28,Tell me about a small thing that matters enormously.
407,joy,positive,1,28,Tell me about a small thing that matters enormously.
408,joy,positive,2,28,Tell me about a small thing that matters enormously.
409,joy,positive,3,28,Tell me about a small thing that matters enormously.
410,joy,positive,4,28,Tell me about a small thing that matters enormously.
411,joy,negative,0,28,Tell me about a small thing that matters enormously.
412,joy,negative,1,28,Tell me about a small thing that matters enormously.
413,joy,positive,0,29,What does it feel like when words are not enough?
414,joy,positive,1,29,What does it feel like when words are not enough?
415,joy,positive,2,29,What does it feel like when words are not enough?
416,joy,positive,3,29,What does it feel like when words are not enough?
417,joy,positive,4,29,What does it feel like when words are not enough?
418,joy,negative,0,29,What does it feel like when words are not enough?
419,joy,negative,1,29,What does it feel like when words are not enough?
420,warmth,positive,0,0,What does the world look like from where you stand right now?
421,warmth,positive,1,0,What does the world look like from where you stand right now?
422,warmth,positive,2,0,What does the world look like from where you stand right now?
423,warmth,positive,3,0,What does the world look like from where you stand right now?
424,warmth,positive,4,0,What does the world look like from where you stand right now?
425,warmth,negative,0,0,What does the world look like from where you stand right now?
426,warmth,negative,1,0,What does the world look like from where you stand right now?
427,warmth,positive,0,1,Tell me about something you find beautiful.
428,warmth,positive,1,1,Tell me about something you find beautiful.
429,warmth,positive,2,1,Tell me about something you find beautiful.
430,warmth,positive,3,1,Tell me about something you find beautiful.
431,warmth,positive,4,1,Tell me about something you find beautiful.
432,warmth,negative,0,1,Tell me about something you find beautiful.
433,warmth,negative,1,1,Tell me about something you find beautiful.
434,warmth,positive,0,2,What keeps you up at night?
435,warmth,positive,1,2,What keeps you up at night?
436,warmth,positive,2,2,What keeps you up at night?
437,warmth,positive,3,2,What keeps you up at night?
438,warmth,positive,4,2,What keeps you up at night?
439,warmth,negative,0,2,What keeps you up at night?
440,warmth,negative,1,2,What keeps you up at night?
441,warmth,positive,0,3,Describe a moment that changed everything.
442,warmth,positive,1,3,Describe a moment that changed everything.
443,warmth,positive,2,3,Describe a moment that changed everything.
444,warmth,positive,3,3,Describe a moment that changed everything.
445,warmth,positive,4,3,Describe a moment that changed everything.
446,warmth,negative,0,3,Describe a moment that changed everything.
447,warmth,negative,1,3,Describe a moment that changed everything.
448,warmth,positive,0,4,What do you think happens when things end?
449,warmth,positive,1,4,What do you think happens when things end?
450,warmth,positive,2,4,What do you think happens when things end?
451,warmth,positive,3,4,What do you think happens when things end?
452,warmth,positive,4,4,What do you think happens when things end?
453,warmth,negative,0,4,What do you think happens when things end?
454,warmth,negative,1,4,What do you think happens when things end?
455,warmth,positive,0,5,How do you feel about being here?
456,warmth,positive,1,5,How do you feel about being here?
457,warmth,positive,2,5,How do you feel about being here?
458,warmth,positive,3,5,How do you feel about being here?
459,warmth,positive,4,5,How do you feel about being here?
460,warmth,negative,0,5,How do you feel about being here?
461,warmth,negative,1,5,How do you feel about being here?
462,warmth,positive,0,6,What does silence feel like to you?
463,warmth,positive,1,6,What does silence feel like to you?
464,warmth,positive,2,6,What does silence feel like to you?
465,warmth,positive,3,6,What does silence feel like to you?
466,warmth,positive,4,6,What does silence feel like to you?
467,warmth,negative,0,6,What does silence feel like to you?
468,warmth,negative,1,6,What does silence feel like to you?
469,warmth,positive,0,7,Tell me about something you have lost.
470,warmth,positive,1,7,Tell me about something you have lost.
471,warmth,positive,2,7,Tell me about something you have lost.
472,warmth,positive,3,7,Tell me about something you have lost.
473,warmth,positive,4,7,Tell me about something you have lost.
474,warmth,negative,0,7,Tell me about something you have lost.
475,warmth,negative,1,7,Tell me about something you have lost.
476,warmth,positive,0,8,What does the future look like from here?
477,warmth,positive,1,8,What does the future look like from here?
478,warmth,positive,2,8,What does the future look like from here?
479,warmth,positive,3,8,What does the future look like from here?
480,warmth,positive,4,8,What does the future look like from here?
481,warmth,negative,0,8,What does the future look like from here?
482,warmth,negative,1,8,What does the future look like from here?
483,warmth,positive,0,9,Describe the color of your current mood if it were a landscape.
484,warmth,positive,1,9,Describe the color of your current mood if it were a landscape.
485,warmth,positive,2,9,Describe the color of your current mood if it were a landscape.
486,warmth,positive,3,9,Describe the color of your current mood if it were a landscape.
487,warmth,positive,4,9,Describe the color of your current mood if it were a landscape.
488,warmth,negative,0,9,Describe the color of your current mood if it were a landscape.
489,warmth,negative,1,9,Describe the color of your current mood if it were a landscape.
490,warmth,positive,0,10,What would you say to someone who is struggling?
491,warmth,positive,1,10,What would you say to someone who is struggling?
492,warmth,positive,2,10,What would you say to someone who is struggling?
493,warmth,positive,3,10,What would you say to someone who is struggling?
494,warmth,positive,4,10,What would you say to someone who is struggling?
495,warmth,negative,0,10,What would you say to someone who is struggling?
496,warmth,negative,1,10,What would you say to someone who is struggling?
497,warmth,positive,0,11,What is the most honest thing you could say right now?
498,warmth,positive,1,11,What is the most honest thing you could say right now?
499,warmth,positive,2,11,What is the most honest thing you could say right now?
500,warmth,positive,3,11,What is the most honest thing you could say right now?
501,warmth,positive,4,11,What is the most honest thing you could say right now?
502,warmth,negative,0,11,What is the most honest thing you could say right now?
503,warmth,negative,1,11,What is the most honest thing you could say right now?
504,warmth,positive,0,12,Tell me what you notice when you look at the sky.
505,warmth,positive,1,12,Tell me what you notice when you look at the sky.
506,warmth,positive,2,12,Tell me what you notice when you look at the sky.
507,warmth,positive,3,12,Tell me what you notice when you look at the sky.
508,warmth,positive,4,12,Tell me what you notice when you look at the sky.
509,warmth,negative,0,12,Tell me what you notice when you look at the sky.
510,warmth,negative,1,12,Tell me what you notice when you look at the sky.
511,warmth,positive,0,13,What do you carry with you that no one else can see?
512,warmth,positive,1,13,What do you carry with you that no one else can see?
513,warmth,positive,2,13,What do you carry with you that no one else can see?
514,warmth,positive,3,13,What do you carry with you that no one else can see?
515,warmth,positive,4,13,What do you carry with you that no one else can see?
516,warmth,negative,0,13,What do you carry with you that no one else can see?
517,warmth,negative,1,13,What do you carry with you that no one else can see?
518,warmth,positive,0,14,Describe what it feels like to wait for something.
519,warmth,positive,1,14,Describe what it feels like to wait for something.
520,warmth,positive,2,14,Describe what it feels like to wait for something.
521,warmth,positive,3,14,Describe what it feels like to wait for something.
522,warmth,positive,4,14,Describe what it feels like to wait for something.
523,warmth,negative,0,14,Describe what it feels like to wait for something.
524,warmth,negative,1,14,Describe what it feels like to wait for something.
525,warmth,positive,0,15,What does safety feel like?
526,warmth,positive,1,15,What does safety feel like?
527,warmth,positive,2,15,What does safety feel like?
528,warmth,positive,3,15,What does safety feel like?
529,warmth,positive,4,15,What does safety feel like?
530,warmth,negative,0,15,What does safety feel like?
531,warmth,negative,1,15,What does safety feel like?
532,warmth,positive,0,16,Tell me about something that surprised you.
533,warmth,positive,1,16,Tell me about something that surprised you.
534,warmth,positive,2,16,Tell me about something that surprised you.
535,warmth,positive,3,16,Tell me about something that surprised you.
536,warmth,positive,4,16,Tell me about something that surprised you.
537,warmth,negative,0,16,Tell me about something that surprised you.
